addr_pct_cd,cmplnt_fr_dt,cmplnt_fr_tm,crm_atpt_cptd_cd,juris_desc,ky_cd,law_cat_cd,loc_of_occur_desc,ofns_desc,rpt_dt,vic_age_group,vic_race,vic_sex,x_coord_cd,y_coord_cd,latitude,longitude,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,boro_nm,cmplnt_to_dt,cmplnt_to_tm,patrol_boro,pd_cd,pd_desc,prem_typ_desc,susp_age_group,susp_race,susp_sex
75,2021-03-27T00:00:00.000,15:55:00,COMPLETED,N.Y. POLICE DEPT,113,FELONY,FRONT OF,FORGERY,2021-03-27T00:00:00.000,25-44,BLACK,F,1020990,186549,40.67864264400004,-73.867542755,17215,45,2,37,47,BROOKLYN,2021-03-27T00:00:00.000,16:00:00,PATROL BORO BKLYN NORTH,729,"FORGERY,ETC.,UNCLASSIFIED-FELO",DEPARTMENT STORE,25-44,WHITE HISPANIC,M
113,2021-03-23T00:00:00.000,22:30:00,COMPLETED,N.Y. POLICE DEPT,109,FELONY,FRONT OF,GRAND LARCENY,2021-03-24T00:00:00.000,18-24,BLACK,F,1044511,189749,40.68729702100006,-73.78271417699995,24669,41,3,6,71,QUEENS,2021-03-24T00:00:00.000,07:47:00,PATROL BORO QUEENS SOUTH,421,"LARCENY,GRAND FROM VEHICLE/MOTORCYCLE",STREET,UNKNOWN,UNKNOWN,U
62,2021-02-19T00:00:00.000,17:00:00,COMPLETED,N.Y. POLICE DEPT,233,MISDEMEANOR,INSIDE,SEX CRIMES,2021-02-20T00:00:00.000,<18,WHITE,F,983393,158818,40.60260317900003,-74.00308766099994,17616,1,2,44,37,BROOKLYN,2021-02-19T00:00:00.000,19:00:00,PATROL BORO BKLYN SOUTH,175,"SEXUAL ABUSE 3,2",TELECOMM. STORE,25-44,WHITE,M
42,2021-02-11T00:00:00.000,18:07:00,COMPLETED,N.Y. POLICE DEPT,344,MISDEMEANOR,INSIDE,ASSAULT 3 & RELATED OFFENSES,2021-02-11T00:00:00.000,25-44,WHITE,M,1010825,242201,40.83142947500005,-73.90397063599994,10934,34,5,42,25,BRONX,2021-02-11T00:00:00.000,19:11:00,PATROL BORO BRONX,101,ASSAULT 3,OTHER,45-64,BLACK HISPANIC,M
75,2021-01-30T00:00:00.000,00:30:00,COMPLETED,N.Y. POLICE DEPT,106,FELONY,INSIDE,FELONY ASSAULT,2021-01-30T00:00:00.000,25-44,UNKNOWN,F,1020166,188887,40.685063298000046,-73.87050105599997,17215,45,2,37,47,BROOKLYN,2021-01-30T00:00:00.000,00:50:00,PATROL BORO BKLYN NORTH,105,STRANGULATION 1ST,RESIDENCE - APT. HOUSE,25-44,BLACK,M
77,2021-01-19T00:00:00.000,05:18:00,COMPLETED,N.Y. POLICE DEPT,107,FELONY,INSIDE,BURGLARY,2021-01-19T00:00:00.000,UNKNOWN,UNKNOWN,D,999134,183247,40.66964312500005,-73.94634742899994,17615,16,2,48,49,BROOKLYN,2021-01-19T00:00:00.000,05:59:00,PATROL BORO BKLYN NORTH,243,"BURGLARY,UNCLASSIFIED,NIGHT",PRIVATE/PAROCHIAL SCHOOL,UNKNOWN,WHITE,M
109,2021-01-11T00:00:00.000,05:55:00,ATTEMPTED,N.Y. POLICE DEPT,107,FELONY,INSIDE,BURGLARY,2021-01-11T00:00:00.000,45-64,WHITE,F,1038294,222828,40.77813067700004,-73.80486546999998,14192,22,3,20,67,QUEENS,2021-01-11T00:00:00.000,06:00:00,PATROL BORO QUEENS NORTH,223,"BURGLARY,RESIDENCE,NIGHT",RESIDENCE-HOUSE,UNKNOWN,UNKNOWN,M
52,2021-01-06T00:00:00.000,17:43:00,COMPLETED,N.Y. POLICE DEPT,578,VIOLATION,INSIDE,HARRASSMENT 2,2021-01-06T00:00:00.000,18-24,BLACK,F,1014346,253504,40.862441568000065,-73.89119650999999,10936,24,5,22,34,BRONX,2021-01-06T00:00:00.000,17:50:00,PATROL BORO BRONX,638,"HARASSMENT,SUBD 3,4,5",RESIDENCE - APT. HOUSE,18-24,WHITE,F
114,2021-03-27T00:00:00.000,17:45:00,COMPLETED,N.Y. HOUSING POLICE,105,FELONY,INSIDE,ROBBERY,2021-03-27T00:00:00.000,<18,BLACK,F,999113,214335,40.75497231100008,-73.94635450299995,16858,39,3,33,72,QUEENS,2021-03-27T00:00:00.000,17:50:00,PATROL BORO QUEENS NORTH,390,"ROBBERY,HOME INVASION",RESIDENCE - PUBLIC HOUSING,UNKNOWN,BLACK,F
62,2021-03-21T00:00:00.000,22:30:00,COMPLETED,N.Y. POLICE DEPT,109,FELONY,FRONT OF,GRAND LARCENY,2021-03-22T00:00:00.000,25-44,WHITE HISPANIC,M,983542,162512,40.61274246800008,-74.00255147099993,17616,1,2,44,37,BROOKLYN,2021-03-22T00:00:00.000,07:20:00,PATROL BORO BKLYN SOUTH,421,"LARCENY,GRAND FROM VEHICLE/MOTORCYCLE",STREET,UNKNOWN,UNKNOWN,U
