,latitude,longitude,boro_nm,year,month,weekday,Hour,Minute,law_cat_cd_pred,ofns_desc_pred
0,40.70672930300003,-73.74990442999997,QUEENS,2022.0,3.0,1.0,0.0,0.0,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF
1,40.66188362600008,-73.73817081199996,QUEENS,2022.0,3.0,1.0,0.0,6.0,FELONY,MISCELLANEOUS PENAL LAW
2,40.78694845900003,-73.97861644799997,MANHATTAN,2022.0,3.0,1.0,0.0,12.0,MISDEMEANOR,HARRASSMENT 2
3,40.70807749100004,-73.78259233799997,QUEENS,2022.0,3.0,1.0,0.0,18.0,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF
4,40.868182313000034,-73.84667212299998,BRONX,2022.0,3.0,1.0,0.0,24.0,MISDEMEANOR,PETIT LARCENY
5,40.661303780000026,-73.97548527299993,BROOKLYN,2022.0,3.0,1.0,0.0,30.0,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF
6,40.60431285400006,-73.95551117699993,BROOKLYN,2022.0,3.0,1.0,0.0,36.0,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF
7,40.586936736000034,-73.89230561199997,QUEENS,2022.0,3.0,1.0,0.0,42.0,MISDEMEANOR,MISCELLANEOUS PENAL LAW
8,40.63664123700005,-73.99402762099999,BROOKLYN,2022.0,3.0,1.0,0.0,48.0,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF
9,40.72198571600006,-73.98039030299998,MANHATTAN,2022.0,3.0,1.0,0.0,54.0,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF
10,40.64003031600004,-73.90828888299995,BROOKLYN,2022.0,3.0,1.0,1.0,0.0,MISDEMEANOR,HARRASSMENT 2
11,40.668986493000034,-73.94501418999994,BROOKLYN,2022.0,3.0,1.0,1.0,6.0,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES
12,40.67526902700007,-73.91953154799995,BROOKLYN,2022.0,3.0,1.0,1.0,12.0,FELONY,HARRASSMENT 2
13,40.86012856000008,-73.901210613,BRONX,2022.0,3.0,1.0,1.0,18.0,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES
14,40.859877246000046,-73.89631972299998,BRONX,2022.0,3.0,1.0,1.0,24.0,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES
15,40.84074193000004,-73.92165536399993,BRONX,2022.0,3.0,1.0,1.0,30.0,MISDEMEANOR,HARRASSMENT 2
16,40.60849903700006,-74.00112871299996,BROOKLYN,2022.0,3.0,1.0,1.0,36.0,MISDEMEANOR,INTOXICATED & IMPAIRED DRIVING
17,40.67712320100002,-73.97076314599997,BROOKLYN,2022.0,3.0,1.0,1.0,42.0,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF
18,40.87168982500003,-73.88414147999998,BRONX,2022.0,3.0,1.0,1.0,48.0,MISDEMEANOR,HARRASSMENT 2
19,40.86106308500007,-73.893447414,BRONX,2022.0,3.0,1.0,1.0,55.0,FELONY,ASSAULT 3 & RELATED OFFENSES
20,40.79494394100004,-73.98395526399997,MANHATTAN,2022.0,3.0,1.0,2.0,1.0,MISDEMEANOR,GRAND LARCENY
21,40.67065964300008,-73.91585303899996,BROOKLYN,2022.0,3.0,1.0,2.0,7.0,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES
22,40.63849961600005,-73.94633637599996,BROOKLYN,2022.0,3.0,1.0,2.0,13.0,FELONY,BURGLARY
23,40.72354298400006,-73.90182796599998,QUEENS,2022.0,3.0,1.0,2.0,19.0,MISDEMEANOR,BURGLARY
24,40.82321579200004,-73.93780501799995,MANHATTAN,2022.0,3.0,1.0,2.0,25.0,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES
25,40.82481094500002,-73.93868515299994,MANHATTAN,2022.0,3.0,1.0,2.0,31.0,FELONY,CRIMINAL MISCHIEF & RELATED OF
26,40.691629445000046,-73.78333111099995,QUEENS,2022.0,3.0,1.0,2.0,37.0,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF
27,40.85024803600004,-73.82883923999998,BRONX,2022.0,3.0,1.0,2.0,43.0,MISDEMEANOR,BURGLARY
28,40.76565054300004,-73.83106742699994,QUEENS,2022.0,3.0,1.0,2.0,49.0,MISDEMEANOR,BURGLARY
